Name,Discount,Tag,Original_Price,Discount_Price,Deadline
Donkey Kong Country: Tropical Freeze,-25%,[],$59.99,$44.99,[]
Diablo III: Eternal Collection,-22%,[],$59.99,$46.90,[]
Psikyo Shooting Stars ALPHA: Limited Edition - Nintendo Switch,-17%,[],$59.99,$49.70,[]
DRAGON BALL Xenoverse 2,-46%,[],$49.99,$27.00,[]
YOGA MASTER,-20%,Matches previous low,$24.99,$19.99,Sale ends November 1
Genki Audio - Gray,-20%,[],$49.99,$39.99,[]
This is the Police 2,-42%,[],$29.99,$17.49,[]
This Is the Police,-42%,[],$29.99,$17.49,[]
FRAMED Collection,-60%,Matches previous low,$9.99,$3.99,Sale ends November 2
MONOPOLY,-75%,Matches previous low,$39.99,$9.99,Sale ends November 1
"Soccer, Tactics & Glory",-52%,[],$39.99,$19.00,[]
Bleed,-75%,Matches previous low,$11.99,$2.99,Sale ends November 4
Rooms: The Adventure of Anne & George,-61%,Lowest price ever,$14.99,$5.90,Sale ends November 1
The Witcher 3: Wild Hunt — Complete Edition,-17%,[],$59.99,$49.99,[]
Worse Than Death,-80%,Matches previous low,$9.99,$1.99,Sale ends November 4
Risk of Rain 2 + Risk of Rain 1,-35%,[],$29.99,$19.64,[]
Kotodama: The 7 Mysteries of Fujisawa,-40%,[],$29.99,$17.99,[]
SNACK WORLD: THE DUNGEON CRAWL — GOLD,-46%,[],$49.99,$26.97,[]
Monster Loves You,-80%,Lowest price ever,$9.99,$1.99,Sale ends November 5
SUPERHOT,-40%,Matches previous low,$24.99,$14.99,Sale ends November 7
One Finger Death Punch 2,-77%,Lowest price ever,$8.99,$2.06,Sale ends November 1
Starlink: Battle for Atlas – Starter Pack,-71%,[],$74.99,$21.97,[]
Monstrum,-25%,Lowest price ever,$29.99,$22.49,Sale ends November 9
"Pokémon: Let’s Go, Eevee!",-17%,[],$59.99,$49.94,[]
The Legend of Zelda: Breath of the Wild,-25%,[],$59.99,$44.99,[]
Project Highrise: Architect's Edition,-35%,[],$39.99,$25.99,[]
"Warhammer 40,000: Mechanicus",-15%,Lowest price ever,$39.99,$34.00,[]
The Infectious Madness of Doctor Dekker,-50%,Matches previous low,$12.99,$6.49,Sale ends in 23 hours
Assassin's Creed III: Remastered,-50%,[],$39.99,$19.99,Sale ends November 1
Monster Hunter Generations Ultimate,-25%,[],$39.99,$29.99,[]
